연도-라운드,관중수,연도,쿠팡
2021-12,582.8,2021,0
2021-13,712.2,2021,0
2021-14,941.8,2021,0
2021-15,704.0,2021,0
2021-16,708.0,2021,0
2021-17,680.6,2021,0
2021-18,588.4,2021,0
2021-19,542.0,2021,0
2021-20,615.4,2021,0
2021-21,507.6,2021,0
2021-22,385.0,2021,0
2021-23,44.8,2021,0
2021-24,269.0,2021,0
2021-25,70.6,2021,0
2021-26,81.8,2021,0
2021-27,196.6,2021,0
2021-28,251.6,2021,0
2021-29,329.2,2021,0
2021-30,651.8,2021,0
2021-31,144.2,2021,0
2021-32,647.6,2021,0
2021-33,744.4,2021,0
2021-34,387.4,2021,0
2021-35,1044.8,2021,0
2021-36,984.2,2021,0
2022-1,1239.0,2022,0
2022-2,891.2,2022,0
2022-3,1077.2,2022,0
2022-4,1223.8,2022,0
2022-5,510.8,2022,0
2022-6,1220.4,2022,0
2022-7,1012.4,2022,0
2022-8,2146.2,2022,0
2022-9,607.6,2022,0
2022-10,1214.0,2022,0
2022-11,1229.0,2022,0
2022-12,996.2,2022,0
2022-13,871.6,2022,0
2022-14,1482.6,2022,0
2022-15,1468.4,2022,0
2022-16,1705.6,2022,0
2022-17,1428.4,2022,0
2022-18,2045.4,2022,0
2022-19,1261.2,2022,0
2022-20,1100.0,2022,0
2022-21,1580.8,2022,0
2022-22,862.6,2022,0
2022-23,1546.0,2022,0
2022-24,1084.2,2022,0
2022-25,1074.2,2022,0
2022-26,849.8,2022,0
2022-27,1219.8,2022,0
2022-28,1426.8,2022,0
2022-29,1537.0,2022,0
2022-30,876.4,2022,0
2022-31,1122.2,2022,0
2022-32,1128.0,2022,0
2022-33,1313.2,2022,0
2022-34,1949.8,2022,0
2022-35,830.4,2022,0
2022-36,1227.8,2022,0
2022-37,1305.2,2022,0
2022-38,951.4,2022,0
2022-39,1054.8,2022,0
2022-40,1605.0,2022,0
2022-41,1777.4,2022,0
2022-42,2088.0,2022,0
2022-43,3010.4,2022,0
2022-44,2917.2,2022,0
2023-1,3733.8333333333335,2023,1
2023-2,3897.3333333333335,2023,1
2023-3,1596.0,2023,1
2023-4,3236.6666666666665,2023,1
2023-5,2642.6666666666665,2023,1
2023-6,1905.0,2023,1
2023-7,2114.3333333333335,2023,1
2023-8,940.0,2023,1
2023-9,2196.5,2023,1
2023-10,2156.0,2023,1
2023-11,1284.5,2023,1
2023-12,2012.5,2023,1
2023-13,2091.0,2023,1
2023-14,2457.8333333333335,2023,1
2023-15,2023.0,2023,1
2023-16,2197.3333333333335,2023,1
2023-17,2500.8333333333335,2023,1
2023-18,2601.3333333333335,2023,1
2023-19,2540.6666666666665,2023,1
2023-20,1627.8333333333333,2023,1
2023-21,1362.6666666666667,2023,1
2023-22,1414.1666666666667,2023,1
2023-23,1503.3333333333333,2023,1
2023-24,2292.1666666666665,2023,1
2023-25,2337.8333333333335,2023,1
2023-26,2065.0,2023,1
2023-27,1915.6666666666667,2023,1
2023-28,2185.8333333333335,2023,1
2023-29,1684.0,2023,1
2023-30,2132.0,2023,1
2023-31,2935.3333333333335,2023,1
2023-32,1063.0,2023,1
2023-33,4375.833333333333,2023,1
2023-34,2469.8333333333335,2023,1
2023-35,2621.1666666666665,2023,1
2023-36,2329.1666666666665,2023,1
2023-37,4714.833333333333,2023,1
2023-38,3860.5,2023,1
2023-39,3297.6666666666665,2023,1
2024-1,4807.4,2024,1
2024-2,9657.0,2024,1
2024-3,3341.8,2024,1
2024-4,4718.0,2024,1
